source_dataset,account_id,label,quality_flag,feature_completeness,username,display_name,description,location,lang,created_at,account_age_days,followers_count,following_count,followers_following_ratio,tweet_count,tweets_per_day,listed_count,favourites_count,verified,default_profile,default_profile_image,description_length,username_length
Twitter Bot Training Data 2,815745789754417152,1,ok,1.0,HoustonPokeMap,Houston PokŽ Alert,"Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt","Houston, TX",en,Mon Jan 02 02:25:26 +0000 2017,87,1291,0,1291.0,78554,902.919540229885,10,0,False,True,False,83,14
Twitter Bot Training Data 2,4843621225,1,ok,1.0,kernyeahx,Keri Nelson,"From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.","Templeville town, MD, USA",en,2/1/2016 7:37,423,1,349,0.002857142857142857,31,0.0732860520094562,0,38,False,True,False,139,9
Twitter Bot Training Data 2,4303727112,1,ok,1.0,mattlieberisbot,Matt Lieber Is Bot,"Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur",,en,Fri Nov 20 18:53:22 +0000 2015,496,1086,0,1086.0,713,1.4375,14,0,False,True,False,124,15
Twitter Bot Training Data 2,3063139353,1,ok,1.0,sc_papers,single cell papers,,,en,2/25/2015 20:11,764,33,0,33.0,676,0.8848167539267016,8,0,False,True,True,0,9
Twitter Bot Training Data 2,2955142070,1,ok,1.0,lucarivera16,lucarivera16,Inspiring cooks everywhere since 1956.,"Dublin, United States",en,1/1/2015 17:44,819,11,745,0.014745308310991957,185,0.2258852258852259,0,146,False,False,False,38,12
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,dantheimprover,dantheimprover,"Just a guy trying to do good by telling everyone else to get better,","Austin, TX",en,13/03/2017 22:53,17,1,186,0.0053475935828877,11,0.6470588235294118,0,0,False,True,False,68,14
Twitter Bot Training Data 2,2482834658,1,ok,1.0,_all_of_us_,everything always,bot by @rubicon,in a machine.,en,Wed May 07 22:29:25 +0000 2014,1058,193,0,193.0,6068,5.735349716446125,19,0,False,False,False,15,11
Twitter Bot Training Data 2,3333573622,1,ok,1.0,KatamariItems,Katamari Collection,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,,en,Thu Jun 18 22:07:31 +0000 2015,651,8227,2,2742.3333333333335,2597,3.989247311827957,89,26,False,True,False,148,13
Twitter Bot Training Data 2,2996105102,1,ok,1.0,AutophagyPapers,Autophagy Papers,Twitterbot for #Autophagy papers. Curated by @SoniaHall,,en,1/25/2015 17:34,795,275,0,275.0,9922,12.480503144654088,17,23,False,False,False,55,15
Twitter Bot Training Data 2,3271095818,1,ok,1.0,HSC_papers,Hematopoiesis,,,en,7/7/2015 15:23,632,51,3,12.75,2515,3.979430379746836,9,0,False,True,False,0,10
Twitter Bot Training Data 2,2717905134,1,ok,1.0,everycheese,all of the cheese,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",cheese land,en,Fri Aug 08 20:23:08 +0000 2014,965,51,1,25.5,111,0.1150259067357512,12,0,False,False,False,116,11
Twitter Bot Training Data 2,2826073429,1,ok,1.0,gyr_papers,gyrpapers,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",,en,9/22/2014 9:46,920,2,1,1.0,230,0.25,4,0,False,True,True,107,10
Twitter Bot Training Data 2,8.10E+17,1,ok,1.0,lavon_court,Lavon Court,,,en,Sun Mar 12 01:07:25 +0000 2017,18,0,29,0.0,0,0.0,0,0,False,True,True,0,11
Twitter Bot Training Data 2,1027583707,1,ok,1.0,AjstyleAlen,Alen Alex,,,en,Sat Dec 22 02:18:49 +0000 2012,1559,1,206,0.004830917874396135,0,0.0,0,0,False,True,True,0,11
Twitter Bot Training Data 2,394991274,1,ok,1.0,Rupesh93505,Rajesh prajapati,,,en,Sun Mar 12 01:06:00 +0000 2017,18,0,38,0.0,0,0.0,0,0,False,True,True,0,11
Twitter Bot Training Data 2,3032363298,1,ok,1.0,hard_to_yelp,how hard is it to,,,en,Fri Feb 20 08:23:00 +0000 2015,769,109,0,109.0,16067,20.893368010403123,16,0,False,True,False,0,12
Twitter Bot Training Data 2,2568851552,1,ok,1.0,fuckeverywordza,fuck every word z-a,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",,en,Sun Jun 15 11:20:31 +0000 2014,1019,250,0,250.0,31721,31.12953876349362,25,0,False,True,False,99,15
Twitter Bot Training Data 2,2954704090,1,ok,1.0,yeahTonyaGonzal,yeahTonyaGonzal,"Musician, vegan, animal rights activist.","Pensacola, USA",en,1/1/2015 11:47,819,15,1941,0.007723995880535531,406,0.4957264957264957,1,319,False,False,False,40,15
Twitter Bot Training Data 2,8.39E+17,1,ok,1.0,BbbbggU,xXx,_______ XXX,"_._______________, _________",th,3/7/2017 22:08,23,190,1899,0.1,0,0.0,0,27,False,True,True,11,7
Twitter Bot Training Data 2,2835723644,1,ok,1.0,ecin_gnihtaseod,‚ƒÓ‡«äu,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",,en,Tue Sep 30 04:56:09 +0000 2014,912,181,0,181.0,21506,23.58114035087719,24,0,False,True,True,86,15
Twitter Bot Training Data 2,1918202534,1,ok,1.0,tofu_product,tofu,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,,en,Sun Sep 29 21:35:03 +0000 2013,1278,10175,11465,0.8874062445491017,65022,50.87793427230047,199,328,False,True,False,88,12
Twitter Bot Training Data 2,2475875424,1,ok,1.0,onetruewiseman,One True Wise Man,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,AMERICA,en,Sat May 03 19:04:37 +0000 2014,1062,23,4,4.6,6230,5.866290018832392,8,4,False,False,False,112,14
Twitter Bot Training Data 2,1909219404,1,ok,1.0,everycolorbot,Every Color,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,the RGB color space,en,Thu Sep 26 21:22:10 +0000 2013,1281,106126,0,106126.0,30156,23.540983606557376,999,2,False,True,False,91,13
Twitter Bot Training Data 2,4040207472,1,ok,1.0,himawari8bot,himawari8bot,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,Space,en,Tue Oct 27 23:06:22 +0000 2015,520,2302,3,575.5,7640,14.692307692307692,161,4,False,False,False,136,12
